"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
571.H1-55W,"HALOGEN CAPSULE H1 55W 12V","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",6.00,$1.51,$3.21,$9.06,$19.26,$10.20,53.0%
N6506-08-10,"1/2"" FEMALE NPT X #10 FEMALE J","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",3.00,$3.02,$6.04,$9.06,$18.12,$9.06,50.0%
N400-050-050,"125-8D 1/2"" BRASS BARB X 1/2"" MALE NPT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$1.81,$3.85,$9.05,$19.25,$10.20,53.0%
BK3Z*1012*A,"Lug nut",Uncategorized,"Eopark Forestry","Staging Heavy Duty - 9919",1.00,$9.04,$36.16,$9.04,$36.16,$27.12,75.0%
N150-075BR,"3/4"" BRASS HOSE MENDER","HD-Trailer Comp","Humoor Energy","Staging Lethbridge - 4310",4.00,$2.26,$4.91,$9.04,$19.64,$10.60,54.0%
CB-1540,C-BOLT,HD-Fasteners,—,"Staging Lethbridge - 4310",7.00,$1.29,$2.74,$9.03,$19.18,$10.15,52.9%
N400-038-050,"125-6D 3/8"" BRASS BARB X 1/2"" MALE NPT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",7.00,$1.29,$2.74,$9.03,$19.18,$10.15,52.9%
LTE88624,"STEEL BULLET HINGE, 4""","HD-Fabrication & Building",—,"Staging Lethbridge - 4310",1.00,$9.01,$17.67,$9.01,$17.67,$8.66,49.0%
QY012254,"Drive Axle Wheel Seal, Fuso","HD-Wheel Comp","Enson Forestry","Staging Heavy Duty - 9919",1.00,$9.01,$17.67,$9.01,$17.67,$8.66,49.0%
1818279C1,"INTAKE DUCT TO MANIFOLD BOLTS",HD-Fasteners,"Xistone Consulting","Staging Heavy Duty - 9919",4.00,$2.25,$4.79,$9.00,$19.16,$10.16,53.0%
4--56-12,"3/4"" BRASS FEMALE SAE SEALING CAP NUT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.50,$11.25,$9.00,$22.50,$13.50,60.0%
8LWS-100,"1"" LOCK WASHER",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",18.00,$0.50,$1.25,$9.00,$22.50,$13.50,60.0%
CS-SE-18,"6-7K SEAL, 3.375""OD X 2.125""ID ","HD-Trailer Comp","Wuboro Farms","Staging Heavy Duty - 9919",6.00,$1.50,$3.26,$9.00,$19.56,$10.56,54.0%
N2403-20-16,"#20 MALE JIC X #16 MALE JIC STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.50,$9.00,$9.00,$18.00,$9.00,50.0%
N5405-12-12,"3/4"" MALE NPT X 3/4"" FEMALE NPT STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.25,$4.79,$9.00,$19.16,$10.16,53.0%
298817N,"Tractor Supply Knob","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Heavy Duty - 9919",2.00,$4.49,$9.76,$8.98,$19.52,$10.54,54.0%
120-562,"1/4"" INLINE FUEL FILTER",HD-Filters,—,"Staging Heavy Duty - 9919",1.00,$8.97,$17.94,$8.97,$17.94,$8.97,50.0%
3--N150T-050BR,"123-8 1/2"" BRASS HOSE BARB TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.99,$5.98,$8.97,$17.94,$8.97,50.0%
13M35092-PTO,"GASKET 6 BOLT 0.020""","HD-Equipment & Hydraulics","Deline Mining","Staging Heavy Duty - 9919",7.00,$1.28,$2.56,$8.96,$17.92,$8.96,50.0%
1461-10,"5/8"" BRASS TUBE NUT FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",8.00,$1.12,$2.38,$8.96,$19.04,$10.08,52.9%
48-6C,"3/8"" BRASS MALE SAE X 3/8"" MAL","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",8.00,$1.12,$2.38,$8.96,$19.04,$10.08,52.9%
HPORING,"HIGH PRESSURE ORING","HD-Hose & Fittings","Quiside Mining","Staging Heavy Duty - 9919",8.00,$1.12,$2.38,$8.96,$19.04,$10.08,52.9%
PIC633-14,"Male Terminal, Metri-Pack 480, 12-10 AWG","HD-Lighting & Electrical","Weton Mechanical","Staging Heavy Duty - 9919",8.00,$1.12,$2.38,$8.96,$19.04,$10.08,52.9%
SBECPL,"BRAKE POT PLUG","HD-Trailer Brake Comp",—,"Staging Lethbridge - 4310",16.00,$0.56,$1.22,$8.96,$19.52,$10.56,54.1%
4--PET-16,"(SS HOSE CLAMP (1"" - 1-1/2""), 1/2"" WIDE)","HD-Hose & Fittings","Aiboro Rentals","Staging Heavy Duty - 9919",6.00,$1.49,$3.17,$8.94,$19.02,$10.08,53.0%
5004336-G3,"MODEL 9 PURGE VALVE KIT - OLD","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",1.00,$8.94,$19.43,$8.94,$19.43,$10.49,54.0%
NFF6403-12-12,"#12 MALE ORFS X #12 MALE JIC STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.47,$8.94,$8.94,$17.88,$8.94,50.0%
2--1472-6C,"3/8"" BRASS TUBE X 3/8"" MALE NPT BRANCH TEE FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",10.00,$0.89,$1.98,$8.90,$19.80,$10.90,55.1%
SH550045019,"10W30 SHELL ROTELLA T5, 18.9L PAIL",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",0.10,$88.89,$126.99,$8.89,$12.70,$3.81,30.0%
1040MP,"OIL FILTER ",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",1.00,$8.88,$9.12,$8.88,$9.12,$0.24,2.6%
2--B3157,"3157 MINI BULB","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",8.00,$1.11,$2.36,$8.88,$18.88,$10.00,53.0%
571.BK60,"LIGHT BRACKET 6"" OVAL (60720, 42109, 43362, BK70BB, 34014)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",4.00,$2.22,$4.72,$8.88,$18.88,$10.00,53.0%
571.BK60,"LIGHT BRACKET 6"" OVAL (60720, 42109, 43362, BK70BB, 34014)","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",4.00,$2.22,$4.72,$8.88,$18.88,$10.00,53.0%
571.PT121,"Adapater Pigtail, 3-Wire, Female PL-3 to Grote 3-Pin Female","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$4.44,$8.88,$8.88,$17.76,$8.88,50.0%
572.4006,"Power Steering Reservoir Cap ","HD-Cooling & HVAC","Iview Commercial","Staging Heavy Duty - 9919",2.00,$4.44,$9.65,$8.88,$19.30,$10.42,54.0%
N64-96,"GEAR CLAMP 5.63 - 6.5 Inch SS","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",6.00,$1.48,$3.15,$8.88,$18.90,$10.02,53.0%
N6802-10-08,"#10 MALE JIC X #08 MALE ORB 45","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.96,$5.92,$8.88,$17.76,$8.88,50.0%
N79L-075," CUSHIONED TUBE SUPPORT (0.38"" SCREW HOLE) FOR 3/4"" (19mm)OD","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",12.00,$0.74,$1.85,$8.88,$22.20,$13.32,60.0%
4--PC1465-4," 1/4"" BRASS DOT TUBE PUSH-IN 90° ELBOW","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$4.43,$8.86,$8.86,$17.72,$8.86,50.0%
562.U3703A,"3X1.25 BAND CLAMP",HD-Exhaust,—,"Staging Lethbridge - 4310",2.00,$4.43,$9.63,$8.86,$19.26,$10.40,54.0%
572.4001,"ENGINE OIL CAP","HD-Engine Comp",—,"Staging Lethbridge - 4310",1.00,$8.85,$16.39,$8.85,$16.39,$7.54,46.0%
26164-HMF,"Coupling Nut","HD-Hose & Fittings","Deline Mining","Staging Lethbridge - 4310",4.00,$2.21,$4.70,$8.84,$18.80,$9.96,53.0%
3--1469-4C,"1/4"" BRASS TUBE X 3/8"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.21,$4.70,$8.84,$18.80,$9.96,53.0%
M136001UB,"POLY EXHAUST BUSHING",HD-Exhaust,—,"Staging Lethbridge - 4310",4.00,$2.21,$4.80,$8.84,$19.20,$10.36,54.0%
572.2002,"COOLANT SURGE TANK CAP 15LB PS ","HD-Cooling & HVAC","Iview Commercial","Staging Heavy Duty - 9919",1.00,$8.83,$19.20,$8.83,$19.20,$10.37,54.0%
170.298818,"YELLOW KNOB FOR MV3 TYPE VALVE","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",2.00,$4.41,$9.59,$8.82,$19.18,$10.36,54.0%
3--KLE714,"COOLANT STOP LEAK",HD-Fluids,"Naboro Excavating","Staging Heavy Duty - 9919",2.00,$4.41,$8.02,$8.82,$16.04,$7.22,45.0%
562.U3103A,"BAND CLAMP PREFORMED 3"" ALUMINUM",HD-Exhaust,—,"Staging Lethbridge - 4310",2.00,$4.41,$9.59,$8.82,$19.18,$10.36,54.0%
N64CT-12,"CONSTANT TENSION GEAR CLAMP 0.67"" -1.26"" (16-32MM)","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.41,$8.82,$8.82,$17.64,$8.82,50.0%
1495B-C,"3/8"" X 3/8"" BRASS FEMALE NPT BULKHEAD 1.25"" LONG","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.40,$8.80,$8.80,$17.60,$8.80,50.0%
N265-038BR,"109-C 3/8"" BRASS [SQUARE] HEAD PLUG","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",11.00,$0.80,$2.00,$8.80,$22.00,$13.20,60.0%
PC1469-4A,"1/4"" BRASS DOT TUBE PUSH-IN X 1/8"" MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",3.00,$2.93,$5.86,$8.79,$17.58,$8.79,50.0%
20805109,CONNECTOR,"HD-Engine Comp","Xawick Consulting","Staging Heavy Duty - 9919",1.00,$8.78,$16.26,$8.78,$16.26,$7.48,46.0%
23-13126-330,"CIRCUIT BREAKER, 30A T2","HD-Lighting & Electrical","Enson Forestry","Staging Heavy Duty - 9919",1.00,$8.78,$17.22,$8.78,$17.22,$8.44,49.0%
76-3331,"Deutsch Housing & Wedgelock- DT Series 6-Way","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",1.00,$8.77,$17.20,$8.77,$17.20,$8.43,49.0%
76-3331PK,"Deutsch Housing & Wedgelock- DT Series 6-Way","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",1.00,$8.77,$17.20,$8.77,$17.20,$8.43,49.0%
N79-400,"P CLAMP 4"" (101.6MM) OD",HD-Fasteners,"Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.19,$4.66,$8.76,$18.64,$9.88,53.0%
209.2323,"SPINDLE NUT (E-618, R000618, 1227H34)","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$4.37,$9.50,$8.74,$19.00,$10.26,54.0%
646822,"134a PAG 150 OIL - 8oz/236ml","HD-Cooling & HVAC","Cuview Management","Staging Heavy Duty - 9919",1.00,$8.74,$19.00,$8.74,$19.00,$10.26,54.0%
PBFPS332C,"DOT 3 BRAKE FLUID 1L",HD-Fluids,"Baplains Solutions","Staging Heavy Duty - 9919",1.00,$8.74,$14.33,$8.74,$14.33,$5.59,39.0%
BRZ-CT9420,"CT CLAMP 13/16"" - 1-3/4""","HD-Hose & Fittings","Enson Forestry","Staging Heavy Duty - 9919",1.00,$8.73,$17.12,$8.73,$17.12,$8.39,49.0%
PIC5461-BP,"PICO PIGTAIL SOCKET H9005","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",3.00,$2.91,$5.82,$8.73,$17.46,$8.73,50.0%
2--54-8D,"1/2"" BRASS MALE SAE X 1/2"" MALE NPT 45 ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.36,$8.72,$8.72,$17.44,$8.72,50.0%
4--84-2432,"16-14GA FEMALE QUICK CONNECT","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",8.00,$1.09,$2.32,$8.72,$18.56,$9.84,53.0%
76-5989EA,"12V RELAY 70A W/ RESISTOR","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",1.00,$8.72,$17.10,$8.72,$17.10,$8.38,49.0%
CS8SC-088-450,"7/8""X4-1/2"" GR8 PL NC BOLT",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",2.00,$4.36,$8.72,$8.72,$17.44,$8.72,50.0%
N2500-06-06,"#06 MALE JIC X #06 MALE JIC 90","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",8.00,$1.09,$2.32,$8.72,$18.56,$9.84,53.0%
PC1462-6,"3/8"" BRASS DOT TUBE PUSH-IN UNION COUPLING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.18,$4.64,$8.72,$18.56,$9.84,53.0%
N227-013BR,"101M-A 1/8"" FORGED BRASS MALE NPT TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.90,$5.80,$8.70,$17.40,$8.70,50.0%
N6400-08-04,"#08 MALE JIC X #04 MALE ORB STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$1.74,$3.70,$8.70,$18.50,$9.80,53.0%
N260-038-013BR,"110-CA 3/8"" X 1/8"" BRASS REDUCER BUSHING","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",11.00,$0.79,$1.98,$8.69,$21.78,$13.09,60.1%
SDCSS14,"SEA FOAM SPRAY, 14OZ",HD-Fluids,—,"Staging Lethbridge - 4310",1.00,$8.69,$14.25,$8.69,$14.25,$5.56,39.0%
205105-G,"ADJUSTABLE SAFETY VALVE (150 P","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",1.00,$8.68,$18.87,$8.68,$18.87,$10.19,54.0%
3--1462-6,"3/8"" BRASS TUBE UNION COUPLING FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.17,$4.62,$8.68,$18.48,$9.80,53.0%
3156CP,"3156CP BULB/BULB","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",14.00,$0.62,$1.55,$8.68,$21.70,$13.02,60.0%
N10-150-200GS,"1-1/2 Plated Steel Combo Nipple X 2"" Male NPT","HD-Equipment & Hydraulics","Humoor Energy","Staging Heavy Duty - 9919",1.00,$8.68,$17.02,$8.68,$17.02,$8.34,49.0%
2--PC1468-6B,"3/8"" BRASS DOT TUBE PUSH-IN X 1/4"" MALE NPT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.89,$5.78,$8.67,$17.34,$8.67,50.0%
4538114,"HUB CAP FILL CAP","HD-Wheel Comp",—,"Staging Lethbridge - 4310",5.00,$1.73,$3.68,$8.65,$18.40,$9.75,53.0%
571.LG13R,"Marker Light, 2.5"" Beehive, Red, Incandescent","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",5.00,$1.73,$3.68,$8.65,$18.40,$9.75,53.0%
N0304-C-16,"#16 JIC CAP","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$1.73,$3.68,$8.65,$18.40,$9.75,53.0%
177.6003,"HOSE SUPPORT SPRING 3/4"" X 13"" (038001, 451046)","HD-Trailer Comp","Iview Commercial","Staging Heavy Duty - 9919",4.00,$2.16,$4.70,$8.64,$18.80,$10.16,54.0%
2--PIC3792-11,"20A CIRCUIT BREAKER","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",2.00,$4.32,$8.64,$8.64,$17.28,$8.64,50.0%
3--PIC3792-11,"20A CIRCUIT BREAKER","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",2.00,$4.32,$8.64,$8.64,$17.28,$8.64,50.0%
3683814,"O-Ring, EGR Cooler Coolant Line","HD-Engine Comp",—,"Staging Heavy Duty - 9919",2.00,$4.32,$8.00,$8.64,$16.00,$7.36,46.0%
4--PET-12,"(SS HOSE CLAMP (7/8"" - 1-5/16""), 1/2"" WIDE)","HD-Hose & Fittings","Aiboro Rentals","Staging Heavy Duty - 9919",6.00,$1.44,$3.06,$8.64,$18.36,$9.72,52.9%
5513,"Stud to Top Post Adapter, Negative",HD-Batteries,—,"Staging Heavy Duty - 9919",6.00,$1.44,$5.76,$8.64,$34.56,$25.92,75.0%
N244-075-050BR,"120-ED 3/4"" FEMALE NPT X 1/2""","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.88,$5.76,$8.64,$17.28,$8.64,50.0%
N6400-08-06,"#08 MALE JIC X #06 MALE ORB ST","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$0.96,$2.13,$8.64,$19.17,$10.53,54.9%
PIC3792-11,"20A CIRCUIT BREAKER","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",2.00,$4.32,$8.64,$8.64,$17.28,$8.64,50.0%
PMH-4,"SS GEAR CLAMP (7/32"" - 5/8""), 5/16"" WIDE","HD-Hose & Fittings","Aiboro Rentals","Staging Heavy Duty - 9919",9.00,$0.96,$2.13,$8.64,$19.17,$10.53,54.9%
177.115164C,"PLC STANDPIPE RUN TEE 3/8 X 1/4 X 3/8in","HD-Hose & Fittings","Iview Commercial","Staging Lethbridge - 4310",1.00,$8.63,$16.92,$8.63,$16.92,$8.29,49.0%
MER-E573,"Hub Lock Ring","HD-Wheel Comp","Weriver Electrical","Staging Lethbridge - 4310",1.00,$8.62,$16.90,$8.62,$16.90,$8.28,49.0%
1-1/8STOVER,"1-1/8"" NC Stover Nut ",Uncategorized,"Gipoint Motors","Staging Lethbridge - 4310",3.00,$2.87,$11.48,$8.61,$34.44,$25.83,75.0%
571.LG10R,"Marker Light, 2.5"", Red, Incandescent","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",7.00,$1.23,$2.62,$8.61,$18.34,$9.73,53.1%
POI5927C,"5W20 FULL SYNTHETIC 1L, GASOLINE ENGINE OIL",HD-Fluids,"Baplains Solutions","Staging Heavy Duty - 9919",1.00,$8.61,$14.11,$8.61,$14.11,$5.50,39.0%
10207-14,"7.5A MICRO- 2 BLADE FUSE BROWN","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",10.00,$0.86,$1.91,$8.60,$19.10,$10.50,55.0%
2--145-4A,"1/4"" BRASS SAE INVERTED FLARE X 1/8"" CENTER MALE NPT TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.30,$8.60,$8.60,$17.20,$8.60,50.0%
3--1491-6,"3/8"" BRASS NUT ONLY FOR RUBBER","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.15,$4.57,$8.60,$18.28,$9.68,53.0%
3--N150T-063BR,"5/8"" BRASS HOSE BARB TEE","HD-Trailer Comp","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.30,$9.35,$8.60,$18.70,$10.10,54.0%
4--1491-6,"3/8"" BRASS NUT ONLY FOR RUBBER","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$2.15,$5.38,$8.60,$21.52,$12.92,60.0%
5626215,"SEAL O-RING","HD-Engine Comp",—,"Staging Lethbridge - 4310",1.00,$8.59,$18.67,$8.59,$18.67,$10.08,54.0%
105098,"1 GA COPPER TUBE BATTERY LUG","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",6.00,$1.43,$3.04,$8.58,$18.24,$9.66,53.0%
115.1161,"CAM LOCK CLIP","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",39.00,$0.22,$0.48,$8.58,$18.72,$10.14,54.2%
3--PIC3794-11,"30A CIRCUIT BREAKER","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",2.00,$4.29,$8.58,$8.58,$17.16,$8.58,50.0%
3588394R1,"RING O 4.1"" X .140","HD-Wheel Comp",—,"Staging Heavy Duty - 9919",1.00,$8.58,$16.82,$8.58,$16.82,$8.24,49.0%
PIC3794-11,"30A CIRCUIT BREAKER","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",2.00,$4.29,$8.58,$8.58,$17.16,$8.58,50.0%
PIC5140-C,"1/4 ID Split Loom","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",39.00,$0.22,$0.63,$8.58,$24.57,$15.99,65.1%
178.2575,"RELAY MINI - 4 PIN 12V 50A SPST RESISTOR (896H1AHCR1U03)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",1.00,$8.57,$16.80,$8.57,$16.80,$8.23,49.0%
4--PC1462-6," 3/8"" BRASS DOT TUBE PUSH-IN UNION COUPLING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.28,$8.56,$8.56,$17.12,$8.56,50.0%
JF-100-Z,FOOT,"HD-Trailer Comp",—,"Staging Lethbridge - 4310",1.00,$8.56,$18.61,$8.56,$18.61,$10.05,54.0%
571.LG19R,"Marker Light, 1"" x 4"" Rectangle, Red, Incandescent","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",5.00,$1.71,$3.64,$8.55,$18.20,$9.65,53.0%
N6506-04-04,"1/4"" FEMALE NPT X #04 FEMALE JIC SWIVEL STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$1.71,$3.64,$8.55,$18.20,$9.65,53.0%
TP-WN-2,"1/2"" NF CONED WHEEL NUT",HD-Fasteners,"Wuboro Farms","Staging Heavy Duty - 9919",19.00,$0.45,$1.13,$8.55,$21.47,$12.92,60.2%
195-010,"Wing Nut 5/16 x 18",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",14.00,$0.61,$1.53,$8.54,$21.42,$12.88,60.1%
HLC-5521-8,"1/2-13 UNC HELICOIL THREAD REPAIR",HD-Fasteners,"Reson Farms","Staging Lethbridge - 4310",1.00,$8.53,$16.73,$8.53,$16.73,$8.20,49.0%
113.2006,"CAMSHAFT SEAL","HD-Heavy Duty Brake Comp",—,"Staging Lethbridge - 4310",2.00,$4.26,$9.26,$8.52,$18.52,$10.00,54.0%
2--PIC3791-11,"15A CIRCUIT BREAKER","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",2.00,$4.26,$8.52,$8.52,$17.04,$8.52,50.0%
209.1110,"SPINDLE NUT (E-2299, R002299, 1227U541, 1804035)","HD-Steering & Suspension","Iview Commercial","Staging Heavy Duty - 9919",2.00,$4.26,$9.26,$8.52,$18.52,$10.00,54.0%
209.1110,"SPINDLE NUT (E-2299, R002299, 1227U541, 1804035)","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$4.26,$9.26,$8.52,$18.52,$10.00,54.0%
3--PIC3791-11,"15A CIRCUIT BREAKER","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",2.00,$4.26,$8.52,$8.52,$17.04,$8.52,50.0%
4--PC1468-8B," 1/2"" BRASS DOT TUBE PUSH-IN X 1/4"" MALE NPT","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$4.26,$8.52,$8.52,$17.04,$8.52,50.0%
N6802-10-10,"#10 MALE JIC X #10 MALE ORB 45","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$2.84,$5.68,$8.52,$17.04,$8.52,50.0%
N6802-10-10,"#10 MALE JIC X #10 MALE ORB 45","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",3.00,$2.84,$5.68,$8.52,$17.04,$8.52,50.0%
FLTCM42010R,"4"" RED DOUBLE BULLSEYE CM, 1","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",1.00,$8.51,$16.69,$8.51,$16.69,$8.18,49.0%
1469-6A,"3/8"" BRASS TUBE X 1/8"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$1.70,$3.62,$8.50,$18.10,$9.60,53.0%
4--1469-8D,"1/2"" BRASS TUBE X 1/2"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.25,$10.63,$8.50,$21.26,$12.76,60.0%
4--1492-6C,"3/8"" X 3/8"" BRASS MALE NPT FOR RUBBER DOT HOSE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$4.25,$10.63,$8.50,$21.26,$12.76,60.0%
4--84-2420,"16-14GA SPADE TERMINAL","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",10.00,$0.85,$1.89,$8.50,$18.90,$10.40,55.0%
4--PC1468-6D," 3/8"" BRASS DOT TUBE PUSH-IN X 1/2"" MALE NPT","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$4.24,$8.48,$8.48,$16.96,$8.48,50.0%
577.3056,"ROCKER SWITCH ON/OFF/ON ILLUMINATED (34232)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",1.00,$8.47,$16.61,$8.47,$16.61,$8.14,49.0%
2--PATM-15,"15 AMP ATM FUSE","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",18.00,$0.47,$1.18,$8.46,$21.24,$12.78,60.2%
PIC3795-11,"40A BREAKER","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",2.00,$4.23,$8.46,$8.46,$16.92,$8.46,50.0%
N6801-06-08,"#06 MALE JIC X #08 MALE ORB 90","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",5.00,$1.69,$3.60,$8.45,$18.00,$9.55,53.1%
2591456,"BOLT - HEX HEAD",HD-Fasteners,"Figrove Apparel","Staging Heavy Duty - 9919",4.00,$2.11,$4.49,$8.44,$17.96,$9.52,53.0%
4--6651,"4GA CRIMP SPLICER ","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",4.00,$2.11,$4.49,$8.44,$17.96,$9.52,53.0%
ABP-N83-MT1001,"GSKT/ORING KIT, DISCHARGE","HD-Cooling & HVAC","Enson Forestry","Staging Heavy Duty - 9919",2.00,$4.22,$9.17,$8.44,$18.34,$9.90,54.0%
NL505-10,"#10 BLACK RUBBER PUSH-ON HOSE","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",4.00,$2.11,$4.49,$8.44,$17.96,$9.52,53.0%
NGK7634,"SPARK PLUG","HD-Engine Comp",—,"Staging Heavy Duty - 9919",3.00,$2.81,$5.20,$8.43,$15.60,$7.17,46.0%
PIC890P-11,"1PC 6GA- 1GA POSITIVE BRIGHT TOOLED BRASS BATTERY TERMINAL","HD-Lighting & Electrical","Baplains Solutions","Staging Heavy Duty - 9919",1.00,$8.42,$16.51,$8.42,$16.51,$8.09,49.0%
